channel_name,subscribers,last_video_date,last_video_views,country,url,channel_id
서울경제 NOW,177000,2025-11-17,419,KR,https://www.youtube.com/channel/UCIh431O7x00rZke3oNBuRRA,UCIh431O7x00rZke3oNBuRRA
홍아린_AI 디자인,19000,2025-11-16,192,,https://www.youtube.com/channel/UCxPcb3p7xndgnYBvZW_lcmg,UCxPcb3p7xndgnYBvZW_lcmg
Lewis Evans,5660,,,,https://www.youtube.com/channel/UC6CXrnJw3tDV3-BNJvk4qdA,UC6CXrnJw3tDV3-BNJvk4qdA
캐치TV,364000,2025-11-15,52613,KR,https://www.youtube.com/channel/UC5YKCgA3WR9NBQNQTs7BTsA,UC5YKCgA3WR9NBQNQTs7BTsA
Học Blender,12300,2025-01-22,24047,VN,https://www.youtube.com/channel/UCwhUvq76zQYut8-iF3g8iHA,UCwhUvq76zQYut8-iF3g8iHA
Hazel Song,10200,2024-07-10,501,KR,https://www.youtube.com/channel/UCKd7HyC6GOvs9w-qNI6s48g,UCKd7HyC6GOvs9w-qNI6s48g
Simply 3D,33200,2022-04-05,1755,CA,https://www.youtube.com/channel/UC1IBFXQHmFZHSDh95Av-3CA,UC1IBFXQHmFZHSDh95Av-3CA
Pantheon,122000,2025-11-14,326,US,https://www.youtube.com/channel/UCONNuxrNN2Tz7WycUhwcNmQ,UCONNuxrNN2Tz7WycUhwcNmQ
JangaFX VFX Software & Tutorials,28000,2025-11-11,1447,US,https://www.youtube.com/channel/UCtRjzr2QlxJcoQQ2c74dJpw,UCtRjzr2QlxJcoQQ2c74dJpw
한국디자인진흥원,5840,2025-10-20,149,KR,https://www.youtube.com/channel/UC2BSNlufWpJLdka9BfpuQkQ,UC2BSNlufWpJLdka9BfpuQkQ
YEONJUN - Topic,76100,2025-11-07,282419,,https://www.youtube.com/channel/UCItY06Ghe5oGOpWANM7lGvA,UCItY06Ghe5oGOpWANM7lGvA
Wade McMaster - Creator Impact,89000,2025-11-13,3950,AU,https://www.youtube.com/channel/UCcCzzSbdw5-qmdF_NuTtb2w,UCcCzzSbdw5-qmdF_NuTtb2w
Purple Park Studios,5320,2025-11-04,387,US,https://www.youtube.com/channel/UCV2qXM7QR58VyThaVmew_iQ,UCV2qXM7QR58VyThaVmew_iQ
Beny Pirzadeh,11700,2025-11-01,31487,CA,https://www.youtube.com/channel/UCpldmOLYlfH1rm1DuvQEDeA,UCpldmOLYlfH1rm1DuvQEDeA
Sanchit Gamedev,225000,2025-11-16,33861,IN,https://www.youtube.com/channel/UCldmsv_hlJZVY8BjMoU3v2g,UCldmsv_hlJZVY8BjMoU3v2g
SFJAZZ,53100,2025-11-14,7575,US,https://www.youtube.com/channel/UCzY_NpprbzgwasGr25HwPCQ,UCzY_NpprbzgwasGr25HwPCQ
엠마쌤,40100,2025-11-16,737,KR,https://www.youtube.com/channel/UC_dn2WIhJ9aqJKKH5RiadWg,UC_dn2WIhJ9aqJKKH5RiadWg
Mathieu Tutos Unreal Engine 5,25600,2023-01-02,28004,FR,https://www.youtube.com/channel/UCL-FjjXKobLHba0iwX1Hp4g,UCL-FjjXKobLHba0iwX1Hp4g
런타임,20500,2025-11-01,7394,KR,https://www.youtube.com/channel/UCb_gYt_yVQ42elchx04QqRw,UCb_gYt_yVQ42elchx04QqRw
슈카월드,3610000,2025-11-13,602127,KR,https://www.youtube.com/channel/UCsJ6RuBiTVWRX156FVbeaGg,UCsJ6RuBiTVWRX156FVbeaGg
우강식,66600,2025-11-04,11264,KR,https://www.youtube.com/channel/UCJS4mS6PFa2MwmkiaNIVh3g,UCJS4mS6PFa2MwmkiaNIVh3g
Histoic,13200,2025-11-16,463,US,https://www.youtube.com/channel/UCdUTE-WnQgRHwczp27oBs0w,UCdUTE-WnQgRHwczp27oBs0w
엠터,233000,2025-11-16,24781,KR,https://www.youtube.com/channel/UCaAEBRoeT5zAwkrSNZDT_oA,UCaAEBRoeT5zAwkrSNZDT_oA
검색인간,10700,2025-10-31,450,KR,https://www.youtube.com/channel/UCrMzlbMcwoHxsnvpdtIs8cQ,UCrMzlbMcwoHxsnvpdtIs8cQ
PowerPro Academy,11700,2025-11-12,1624,IN,https://www.youtube.com/channel/UCFm7o3PHs5dpTOJgZrxz16Q,UCFm7o3PHs5dpTOJgZrxz16Q
Garett,707000,2025-11-15,145739,,https://www.youtube.com/channel/UCCQi3X-PJGmd6DrPN9Rb6iw,UCCQi3X-PJGmd6DrPN9Rb6iw
비스쿨인테리어학원,18000,2025-11-14,1506,,https://www.youtube.com/channel/UCE-Mr_5s5jct9KowhgJl4lw,UCE-Mr_5s5jct9KowhgJl4lw
AI하쥬,12900,2025-10-20,360,KR,https://www.youtube.com/channel/UCdDSL8uWHR1dfOHh1QSWtnQ,UCdDSL8uWHR1dfOHh1QSWtnQ
신민정,68700,2025-07-07,7648,KR,https://www.youtube.com/channel/UC75qXxDdyrh3qm8al7k8G2g,UC75qXxDdyrh3qm8al7k8G2g
GRAPHICUS,8780,2025-07-30,571,LK,https://www.youtube.com/channel/UC5X7zSpXuWvK9QvBjyUImug,UC5X7zSpXuWvK9QvBjyUImug
Sound & Soundtracks,25700,2025-11-16,219,DE,https://www.youtube.com/channel/UCRvZGYyDFccoeaJbDPIfs-g,UCRvZGYyDFccoeaJbDPIfs-g
M design,63600,2023-09-03,12196,JP,https://www.youtube.com/channel/UC43rvZEhtRwf19ZRApwbtvg,UC43rvZEhtRwf19ZRApwbtvg
AI Search,583000,2025-11-16,55980,HK,https://www.youtube.com/channel/UCIgnGlGkVRhd4qNFcEwLL4A,UCIgnGlGkVRhd4qNFcEwLL4A
아이디어메이트,5030,2025-11-13,238,KR,https://www.youtube.com/channel/UC7eW9Eom8jXEmSrP-a6B0pw,UC7eW9Eom8jXEmSrP-a6B0pw
